"id","score","title","summary","venue","year","authors","citationCount","referenceCount","influentialCitationCount","url"
"205cc15fca6963b355e4c071071368e874ee103e",8,"Inducing Character-level Structure in Subword-based Language Models with Type-level Interchange Intervention Training","While simple character-level tokenization approaches still perform best on purely form-based tasks like string reversal, this method is superior for more complex tasks that blend form, meaning, and context, such as spelling correction in context and word search games.","",2022,"Jing Huang,Zhengxuan Wu,Kyle Mahowald,Christopher Potts",0,45,0,"https://www.semanticscholar.org/paper/205cc15fca6963b355e4c071071368e874ee103e"
"353d6a18a222aec0be66de0b8be111fbbe67012d",6,"Character-Aware Models Improve Visual Text Rendering","This paper trains a suite of image generation models, and shows that character-aware variants outperform their character-blind counterparts across a range of novel text rendering tasks (the authors' DrawText benchmark), and sets a much higher state-of-the-art on visual spelling.","",2022,"Rosanne Liu,Daniel H Garrette,Chitwan Saharia,William Chan,Adam Roberts,Sharan Narang,Irina Blok,R. Mical,Mohammad Norouzi,Noah Constant",0,36,0,"https://www.semanticscholar.org/paper/353d6a18a222aec0be66de0b8be111fbbe67012d"
"bc518f89f1ea8244ca019fd03c8c70f9d3c7fe9d",6,"MANTa: Efficient Gradient-Based Tokenization for Robust End-to-End Language Modeling","MANTa is a differentiable tokenizer trained end-to-end with the language model that improves robustness to character perturbations and out-of-domain data and is considerably faster than strictly byte-level models.","",2022,"Nathan Godey,Roman Castagn'e,Eric Villemonte de la Clergerie,Benoît Sagot",0,29,0,"https://www.semanticscholar.org/paper/bc518f89f1ea8244ca019fd03c8c70f9d3c7fe9d"
"6c761cfdb031701072582e434d8f64d436255da6",4,"AMMUS : A Survey of Transformer-based Pretrained Models in Natural Language Processing","This comprehensive survey paper explains various core concepts like pretraining, Pretraining methods, pretraining tasks, embeddings and downstream adaptation methods, presents a new taxonomy of T-PTLMs and gives brief overview of various benchmarks including both intrinsic and extrinsic.","ArXiv",2021,"Katikapalli Subramanyam Kalyan,A. Rajasekharan,S. Sangeetha",48,301,6,"https://www.semanticscholar.org/paper/6c761cfdb031701072582e434d8f64d436255da6"
"54123c8de8ecacb30ae2e9fb8c4635f4030965b5",4,"MockingBERT: A Method for Retroactively Adding Resilience to NLP Models","A novel method of retroactively adding resilience to misspellings to transformer-based NLP models without the need for re-training of the original NLP model is proposed, which significantly reduces the cost needed to evaluate a model’s resilience to adversarial attacks.","COLING",2022,"Jan Jezabek,A. Singh",0,26,0,"https://www.semanticscholar.org/paper/54123c8de8ecacb30ae2e9fb8c4635f4030965b5"
"ac7a19bc7dd06fd2b6501d3ff7098a29793d7da6",4,"Subword-Delimited Downsampling for Better Character-Level Translation","This newdownsampling method not only outperforms existing downsampling methods, showing that downsamplings characters can be done without sacriﬁcing quality, but also leads to promising performance compared to subword models for translation.","ArXiv",2022,"Lukas Edman,Antonio Toral,Gertjan van Noord",0,24,0,"https://www.semanticscholar.org/paper/ac7a19bc7dd06fd2b6501d3ff7098a29793d7da6"
"9f4351600c72d5dac0251cd49984f691dca2fcd1",4,"Word-Level Representation From Bytes For Language Modeling","This work overhauls the existing character-aware method that takes character-level inputs but makes word-level sequence modeling and prediction a token free model with slim input embeddings for downstream tasks by introducing a cross-attention network and a sub-word level prediction based on word- level hidden states.","ArXiv",2022,"Chul Lee,Qipeng Guo,Xipeng Qiu",0,35,0,"https://www.semanticscholar.org/paper/9f4351600c72d5dac0251cd49984f691dca2fcd1"
"11ddb0953eae196dab339bfdc117221594cf945e",4,"ByGPT5: End-to-End Style-conditioned Poetry Generation with Token-free Language Models","This work successfully pre-train and release ByGPT5, a new token-free decoder-only language model, and successfully tunes it on a large custom corpus of English and German quatrains annotated with the authors' styles, demonstrating its runtime performance and introspect the model’s understanding of style conditions.","",2022,"Jonas Belouadi,Steffen Eger",0,67,0,"https://www.semanticscholar.org/paper/11ddb0953eae196dab339bfdc117221594cf945e"
"660ddea322b193c7428f2a3149ebe3d24ff9d88d",4,"Image-and-Language Understanding from Pixels Only","This work explores an additional uniﬁcation: the use of a pure pixel-based model to perform image, text, and multimodal tasks and exploits the fact that CLIPPO does not require a tokenizer to show that it can achieve strong performance on multilingual multi-modal retrieval without modi ﬁcations.","",2022,"M. Tschannen,Basil Mustafa,N. Houlsby",0,77,0,"https://www.semanticscholar.org/paper/660ddea322b193c7428f2a3149ebe3d24ff9d88d"
"9ccad0208b50042d8378b77700146a98bd22ea3f",4,"The SIGMORPHON 2022 Shared Task on Morpheme Segmentation","","SIGMORPHON",2022,"Khuyagbaatar Batsuren,Gábor Bella,Aryaman Arora,Viktor Martinovi'c,Kyle Gorman,Zdenvek vZabokrtsk'y,A. Ganbold,vS'arka Dohnalov'a,Magda vSevvc'ikov'a,Katevrina Pelegrinov'a,Fausto Giunchiglia,Ryan Cotterell,Ekaterina Vylomova",5,81,0,"https://www.semanticscholar.org/paper/9ccad0208b50042d8378b77700146a98bd22ea3f"
